y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.432, w: 6.0, Error: 0.568, kp 0.9, duty cycle: 65.0270967742
y: 5.432, w: 6.0, Error: 0.568, kp 0.9, duty cycle: 65.0270967742
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.471, w: 6.0, Error: 0.529, kp 0.9, duty cycle: 64.9922580645
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.471, w: 6.0, Error: 0.529, kp 0.9, duty cycle: 64.9922580645
y: 5.497, w: 6.0, Error: 0.503, kp 0.9, duty cycle: 64.9690322581
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.497, w: 6.0, Error: 0.503, kp 0.9, duty cycle: 64.9690322581
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.497, w: 6.0, Error: 0.503, kp 0.9, duty cycle: 64.9690322581
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.484, w: 6.0, Error: 0.516, kp 0.9, duty cycle: 64.9806451613
y: 5.497, w: 6.0, Error: 0.503, kp 0.9, duty cycle: 64.9690322581
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.51, w: 6.0, Error: 0.49, kp 0.9, duty cycle: 64.9574193548
y: 5.497, w: 6.0, Error: 0.503, kp 0.9, duty cycle: 64.9690322581
y: 5.471, w: 6.0, Error: 0.529, kp 0.9, duty cycle: 64.9922580645
y: 5.394, w: 6.0, Error: 0.606, kp 0.9, duty cycle: 65.0619354839
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.355, w: 6.0, Error: 0.645, kp 0.9, duty cycle: 65.0967741935
y: 5.368, w: 6.0, Error: 0.632, kp 0.9, duty cycle: 65.0851612903
y: 5.419, w: 6.0, Error: 0.581, kp 0.9, duty cycle: 65.0387096774
y: 5.406, w: 6.0, Error: 0.594, kp 0.9, duty cycle: 65.0503225806
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.419, w: 6.0, Error: 0.581, kp 0.9, duty cycle: 65.0387096774
y: 5.419, w: 6.0, Error: 0.581, kp 0.9, duty cycle: 65.0387096774
y: 5.432, w: 6.0, Error: 0.568, kp 0.9, duty cycle: 65.0270967742
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.381, w: 6.0, Error: 0.619, kp 0.9, duty cycle: 65.0735483871
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.381, w: 6.0, Error: 0.619, kp 0.9, duty cycle: 65.0735483871
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.419, w: 6.0, Error: 0.581, kp 0.9, duty cycle: 65.0387096774
y: 5.432, w: 6.0, Error: 0.568, kp 0.9, duty cycle: 65.0270967742
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.445, w: 6.0, Error: 0.555, kp 0.9, duty cycle: 65.015483871
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 0.9, duty cycle: 65.0038709677
y: 5.458, w: 6.0, Error: 0.542, kp 2.7, duty cycle: 65.9793548387
y: 5.51, w: 6.0, Error: 0.49, kp 2.7, duty cycle: 65.84
y: 5.561, w: 6.0, Error: 0.439, kp 2.7, duty cycle: 65.7006451613
y: 5.561, w: 6.0, Error: 0.439, kp 2.7, duty cycle: 65.7006451613
y: 5.535, w: 6.0, Error: 0.465, kp 2.7, duty cycle: 65.7703225806
y: 5.548, w: 6.0, Error: 0.452, kp 2.7, duty cycle: 65.735483871
y: 5.445, w: 6.0, Error: 0.555, kp 2.7, duty cycle: 66.0141935484
y: 5.419, w: 6.0, Error: 0.581, kp 2.7, duty cycle: 66.0838709677
y: 5.484, w: 6.0, Error: 0.516, kp 2.7, duty cycle: 65.9096774194
y: 5.497, w: 6.0, Error: 0.503, kp 2.7, duty cycle: 65.8748387097
y: 5.548, w: 6.0, Error: 0.452, kp 2.7, duty cycle: 65.735483871
y: 5.561, w: 6.0, Error: 0.439, kp 2.7, duty cycle: 65.7006451613
y: 5.548, w: 6.0, Error: 0.452, kp 2.7, duty cycle: 65.735483871
y: 5.561, w: 6.0, Error: 0.439, kp 2.7, duty cycle: 65.7006451613
y: 5.535, w: 6.0, Error: 0.465, kp 2.7, duty cycle: 65.7703225806
y: 5.535, w: 6.0, Error: 0.465, kp 2.7, duty cycle: 65.7703225806
y: 5.535, w: 6.0, Error: 0.465, kp 2.7, duty cycle: 65.7703225806
y: 5.548, w: 6.0, Error: 0.452, kp 2.7, duty cycle: 65.735483871
y: 5.548, w: 6.0, Error: 0.452, kp 2.7, duty cycle: 65.735483871
y: 5.548, w: 6.0, Error: 0.452, kp 2.7, duty cycle: 65.735483871
y: 5.561, w: 6.0, Error: 0.439, kp 2.7, duty cycle: 65.7006451613
y: 5.561, w: 6.0, Error: 0.439, kp 2.7, duty cycle: 65.7006451613
y: 5.548, w: 6.0, Error: 0.452, kp 2.7, duty cycle: 65.735483871
y: 5.548, w: 6.0, Error: 0.452, kp 2.7, duty cycle: 65.735483871
y: 5.561, w: 6.0, Error: 0.439, kp 2.7, duty cycle: 65.7006451613
y: 5.548, w: 6.0, Error: 0.452, kp 2.7, duty cycle: 65.735483871
